id;nombre;descripcion;ingredientes;precio
0;DCCHamburguer;Hamburguesa con palta, tomate, mayonesa, rica para pasar la hora de almuerzo;hamburguesa, palta, tomate, mayonesa;5000
1;Sushi;Una selección de rollitos de sushi tradicionales japoneses, servidos con wasabi y jengibre encurtido.;Arroz de sushi, algas nori, pescado crudo (como salmón, atún o pez mantequilla), aguacate, pepino, cangrejo, vinagre de arroz, azúcar, sal;16000
2;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;7000
3;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;16000
4;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;16000
5;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;16000
6;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;16000
7;Pizza Margarita;Una pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca fresca.;Masa de pizza, salsa de tomate, mozzarella fresca, albahaca fresca, aceite de oliva.;16000
8;Pollo al Curry;Trozos de pollo cocidos en una salsa cremosa de curry, servidos con arroz basmati.;Pollo, cebolla, ajo, jengibre, pasta de curry, leche de coco, tomates, especias (cúrcuma, comino, cilantro, etc.), arroz basmati.;7000
9;Paella;Un plato de arroz español tradicional, cocido con mariscos, pollo, chorizo y vegetales, sazonado con azafrán.;Arroz bomba, mejillones, langostinos, pollo, chorizo, pimientos, cebolla, ajo, azafrán, caldo de pescado.;4000
10;Enchiladas;Tortillas de maíz rellenas de pollo desmenuzado, cubiertas con salsa de tomate picante y queso rallado, horneadas hasta que estén doradas.;Tortillas de maíz, pollo desmenuzado, salsa de tomate, chiles jalapeños, queso rallado, crema agria, cilantro.;16000
11;Spaghetti Carbonara;Spaghetti cocidos al dente, mezclados con una salsa cremosa de huevo, queso parmesano, panceta o tocino y pimienta negra.;Spaghetti, huevos, queso parmesano rallado, panceta o tocino, pimienta negra.;6000
12;Tacos al Pastor;Tacos mexicanos rellenos de carne de cerdo marinada con especias y piña asada, servidos con cilantro y cebolla.;Tortillas de maíz, carne de cerdo marinada, piña, cilantro, cebolla, salsa de tomate.;19000
13;Risotto;Arroz italiano cremoso cocido lentamente en caldo y mezclado con champiñones, espárragos y queso parmesano.;Arroz arborio, caldo de verduras, champiñones, espárragos, cebolla, ajo, vino blanco, queso parmesano.;16000
14;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
15;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
16;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
17;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
18;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
19;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
20;Hamburguesa con Queso;Una jugosa hamburguesa de carne de res, servida en un pan sin gluten con queso cheddar derretido, lechuga, tomate y cebolla.;Carne de res molida, pan sin gluten, queso cheddar, lechuga, tomate, cebolla, condimentos (ketchup, mostaza, etc.).;16000
21;Ceviche;Trozos de pescado crudo marinados en jugo de limón, con cebolla roja, cilantro y chiles picantes.;Pescado blanco fresco (como corvina o lenguado), limón, cebolla roja, cilantro, chiles picantes, sal.;16000
22;Pad Thai;Fideos de arroz salteados con camarones, tofu o pollo, y mezclados con huevo, brotes de soja, cacahuetes y salsa de tamarindo.;Fideos de arroz, camarones/tofu/pollo, huevo, brotes de soja, cebollas verdes, cacahuetes, salsa de tamarindo, azúcar, salsa de pescado.;18000
23;Lasaña;Capas de pasta cocida al horno con salsa de tomate, carne molida, queso ricotta y mozzarella, cubiertas con queso parmesano.;Pasta para lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, queso parmesano, hierbas italianas.;5000
24;Burritos;Tortillas de harina rellenas de arroz, frijoles, carne de res desmenuzada, queso, lechuga y salsa.;Tortillas de harina, arroz, frijoles, carne de res desmenuzada, queso, lechuga, salsa (salsa de tomate, salsa picante, etc.).;11000
